c1.medium      2 vCPU                   1.7Gb     $0.179/hr
c1.xlarge      8 vCPU                   7.0Gb     $0.718/hr
c3.large       2 vCPU    2.8 GHz        3.75Gb    $0.163/hr
c3.xlarge      4 vCPU    2.8 GHz        7.5Gb     $0.325/hr
c3.2xlarge     8 vCPU    2.8 GHz        15.0Gb    $0.65/hr
c3.4xlarge     16 vCPU   2.8 GHz        30.0Gb    $1.3/hr
c3.8xlarge     32 vCPU   2.8 GHz        60.0Gb    $2.6/hr
c4.large       2 vCPU    2.9 GHz        3.75Gb    $0.155/hr
c4.xlarge      4 vCPU    2.9 GHz        7.5Gb     $0.309/hr
c4.2xlarge     8 vCPU    2.9 GHz        15.0Gb    $0.618/hr
c4.4xlarge     16 vCPU   2.9 GHz        30.0Gb    $1.235/hr
c4.8xlarge     36 vCPU   2.9 GHz        60.0Gb    $2.47/hr
c5.large       2 vCPU    3 GHz          4.0Gb     $0.131/hr
c5.xlarge      4 vCPU    3 GHz          8.0Gb     $0.262/hr
c5.2xlarge     8 vCPU    3 GHz          16.0Gb    $0.524/hr
c5.4xlarge     16 vCPU   3 GHz          32.0Gb    $1.048/hr
c5.9xlarge     36 vCPU   3 GHz          72.0Gb    $2.358/hr
c5.12xlarge    48 vCPU   3 GHz          96.0Gb    $3.144/hr
c5.18xlarge    72 vCPU   3 GHz          144.0Gb   $4.716/hr
c5.metal       96 vCPU   3 GHz          192.0Gb   $6.288/hr
c5.24xlarge    96 vCPU   3 GHz          192.0Gb   $6.288/hr
c5a.large      2 vCPU    2.8 GHz        4.0Gb     $0.118/hr
c5a.xlarge     4 vCPU    2.8 GHz        8.0Gb     $0.236/hr
c5a.2xlarge    8 vCPU    2.8 GHz        16.0Gb    $0.472/hr
c5a.4xlarge    16 vCPU   2.8 GHz        32.0Gb    $0.944/hr
c5a.8xlarge    32 vCPU   2.8 GHz        64.0Gb    $1.888/hr
c5a.12xlarge   48 vCPU   2.8 GHz        96.0Gb    $2.832/hr
c5a.16xlarge   64 vCPU   2.8 GHz        128.0Gb   $3.776/hr
c5a.24xlarge   96 vCPU   2.8 GHz        192.0Gb   $5.664/hr
c5ad.large     2 vCPU    2.8 GHz        4.0Gb     $0.134/hr
c5ad.xlarge    4 vCPU    2.8 GHz        8.0Gb     $0.268/hr
c5ad.2xlarge   8 vCPU    2.8 GHz        16.0Gb    $0.536/hr
c5ad.4xlarge   16 vCPU   2.8 GHz        32.0Gb    $1.072/hr
c5ad.8xlarge   32 vCPU   2.8 GHz        64.0Gb    $2.144/hr
c5ad.12xlarge  48 vCPU   2.8 GHz        96.0Gb    $3.216/hr
c5ad.16xlarge  64 vCPU   2.8 GHz        128.0Gb   $4.288/hr
c5ad.24xlarge  96 vCPU   2.8 GHz        192.0Gb   $6.432/hr
c5d.large      2 vCPU    3 GHz          4.0Gb     $0.149/hr
c5d.xlarge     4 vCPU    3 GHz          8.0Gb     $0.298/hr
c5d.2xlarge    8 vCPU    3 GHz          16.0Gb    $0.596/hr
c5d.4xlarge    16 vCPU   3 GHz          32.0Gb    $1.192/hr
c5d.9xlarge    36 vCPU   3 GHz          72.0Gb    $2.682/hr
c5d.12xlarge   48 vCPU   3 GHz          96.0Gb    $3.576/hr
c5d.18xlarge   72 vCPU   3 GHz          144.0Gb   $5.364/hr
c5d.24xlarge   96 vCPU   3 GHz          192.0Gb   $7.152/hr
c5d.metal      96 vCPU   3 GHz          192.0Gb   $7.152/hr
c5n.large      2 vCPU    3 GHz          5.25Gb    $0.166/hr
c5n.xlarge     4 vCPU    3 GHz          10.5Gb    $0.332/hr
c5n.2xlarge    8 vCPU    3 GHz          21.0Gb    $0.664/hr
c5n.4xlarge    16 vCPU   3 GHz          42.0Gb    $1.328/hr
c5n.9xlarge    36 vCPU   3 GHz          96.0Gb    $2.988/hr
c5n.18xlarge   72 vCPU   3 GHz          192.0Gb   $5.976/hr
c5n.metal      72 vCPU   3 GHz          192.0Gb   $5.976/hr
c6g.medium     1 vCPU    2.5 GHz        2.0Gb     $0.0524/hr
c6g.large      2 vCPU    2.5 GHz        4.0Gb     $0.1048/hr
c6g.xlarge     4 vCPU    2.5 GHz        8.0Gb     $0.2096/hr
c6g.2xlarge    8 vCPU    2.5 GHz        16.0Gb    $0.4192/hr
c6g.4xlarge    16 vCPU   2.5 GHz        32.0Gb    $0.8384/hr
c6g.8xlarge    32 vCPU   2.5 GHz        64.0Gb    $1.6768/hr
c6g.12xlarge   48 vCPU   2.5 GHz        96.0Gb    $2.5152/hr
c6g.16xlarge   64 vCPU   2.5 GHz        128.0Gb   $3.3536/hr
c6g.metal      64 vCPU   2.5 GHz        128.0Gb   $3.3536/hr
c6gn.medium    1 vCPU    2.5 GHz        2.0Gb     $0.0665/hr
c6gn.large     2 vCPU    2.5 GHz        4.0Gb     $0.133/hr
c6gn.xlarge    4 vCPU    2.5 GHz        8.0Gb     $0.266/hr
c6gn.2xlarge   8 vCPU    2.5 GHz        16.0Gb    $0.532/hr
c6gn.4xlarge   16 vCPU   2.5 GHz        32.0Gb    $1.064/hr
c6gn.8xlarge   32 vCPU   2.5 GHz        64.0Gb    $2.128/hr
c6gn.12xlarge  48 vCPU   2.5 GHz        96.0Gb    $3.192/hr
c6gn.16xlarge  64 vCPU   2.5 GHz        128.0Gb   $4.256/hr
c6i.large      2 vCPU    3.5 GHz        4.0Gb     $0.131/hr
c6i.xlarge     4 vCPU    3.5 GHz        8.0Gb     $0.262/hr
c6i.2xlarge    8 vCPU    3.5 GHz        16.0Gb    $0.524/hr
c6i.4xlarge    16 vCPU   3.5 GHz        32.0Gb    $1.048/hr
c6i.8xlarge    32 vCPU   3.5 GHz        64.0Gb    $2.096/hr
c6i.12xlarge   48 vCPU   3.5 GHz        96.0Gb    $3.144/hr
c6i.16xlarge   64 vCPU   3.5 GHz        128.0Gb   $4.192/hr
c6i.24xlarge   96 vCPU   3.5 GHz        192.0Gb   $6.288/hr
c6i.32xlarge   128 vCPU  3.5 GHz        256.0Gb   $8.384/hr
c6i.metal      128 vCPU  3.5 GHz        256.0Gb   $8.384/hr
g4dn.xlarge    4 vCPU    2.5 GHz        16.0Gb    $0.894/hr
g4dn.2xlarge   8 vCPU    2.5 GHz        32.0Gb    $1.278/hr
g4dn.metal     96 vCPU   2.5 GHz        384.0Gb   $13.298/hr
g4dn.4xlarge   16 vCPU   2.5 GHz        64.0Gb    $2.046/hr
g4dn.8xlarge   32 vCPU   2.5 GHz        128.0Gb   $3.698/hr
g4dn.12xlarge  48 vCPU   2.5 GHz        192.0Gb   $6.649/hr
g4dn.16xlarge  64 vCPU   2.5 GHz        256.0Gb   $7.397/hr
i3.large       2 vCPU    2.3 GHz        15.25Gb   $0.249/hr
i3.xlarge      4 vCPU    2.3 GHz        30.5Gb    $0.498/hr
i3.2xlarge     8 vCPU    2.3 GHz        61.0Gb    $0.996/hr
i3.4xlarge     16 vCPU   2.3 GHz        122.0Gb   $1.992/hr
i3.8xlarge     32 vCPU   2.3 GHz        244.0Gb   $3.984/hr
i3.metal       64 vCPU   2.3 GHz        512.0Gb   $7.968/hr
i3.16xlarge    64 vCPU   2.3 GHz        488.0Gb   $7.968/hr
i3en.large     2 vCPU    3.1 GHz        16.0Gb    $0.36/hr
