c1.medium          2 vCPU                   1.7Gb      $0.157/hr
c1.xlarge          8 vCPU                   7.0Gb      $0.628/hr
c3.large           2 vCPU    2.8 GHz        3.75Gb     $0.126/hr
c3.xlarge          4 vCPU    2.8 GHz        7.5Gb      $0.252/hr
c3.2xlarge         8 vCPU    2.8 GHz        15.0Gb     $0.504/hr
c3.4xlarge         16 vCPU   2.8 GHz        30.0Gb     $1.008/hr
c3.8xlarge         32 vCPU   2.8 GHz        60.0Gb     $2.016/hr
c4.large           2 vCPU    2.9 GHz        3.75Gb     $0.12/hr
c4.xlarge          4 vCPU    2.9 GHz        7.5Gb      $0.239/hr
c4.2xlarge         8 vCPU    2.9 GHz        15.0Gb     $0.479/hr
c4.4xlarge         16 vCPU   2.9 GHz        30.0Gb     $0.958/hr
c4.8xlarge         36 vCPU   2.9 GHz        60.0Gb     $1.915/hr
c5.large           2 vCPU    3 GHz          4.0Gb      $0.102/hr
c5.xlarge          4 vCPU    3 GHz          8.0Gb      $0.204/hr
c5.2xlarge         8 vCPU    3 GHz          16.0Gb     $0.408/hr
c5.4xlarge         16 vCPU   3 GHz          32.0Gb     $0.816/hr
c5.9xlarge         36 vCPU   3 GHz          72.0Gb     $1.836/hr
c5.12xlarge        48 vCPU   3 GHz          96.0Gb     $2.448/hr
c5.18xlarge        72 vCPU   3 GHz          144.0Gb    $3.672/hr
c5.metal           96 vCPU   3 GHz          192.0Gb    $4.896/hr
c5.24xlarge        96 vCPU   3 GHz          192.0Gb    $4.896/hr
c5a.large          2 vCPU    2.8 GHz        4.0Gb      $0.092/hr
c5a.xlarge         4 vCPU    2.8 GHz        8.0Gb      $0.184/hr
c5a.2xlarge        8 vCPU    2.8 GHz        16.0Gb     $0.368/hr
c5a.4xlarge        16 vCPU   2.8 GHz        32.0Gb     $0.736/hr
c5a.8xlarge        32 vCPU   2.8 GHz        64.0Gb     $1.472/hr
c5a.12xlarge       48 vCPU   2.8 GHz        96.0Gb     $2.208/hr
c5a.16xlarge       64 vCPU   2.8 GHz        128.0Gb    $2.944/hr
c5a.24xlarge       96 vCPU   2.8 GHz        192.0Gb    $4.416/hr
c5d.large          2 vCPU    3 GHz          4.0Gb      $0.116/hr
c5d.xlarge         4 vCPU    3 GHz          8.0Gb      $0.232/hr
c5d.2xlarge        8 vCPU    3 GHz          16.0Gb     $0.464/hr
c5d.4xlarge        16 vCPU   3 GHz          32.0Gb     $0.928/hr
c5d.9xlarge        36 vCPU   3 GHz          72.0Gb     $2.088/hr
c5d.12xlarge       48 vCPU   3 GHz          96.0Gb     $2.784/hr
c5d.18xlarge       72 vCPU   3 GHz          144.0Gb    $4.176/hr
c5d.24xlarge       96 vCPU   3 GHz          192.0Gb    $5.568/hr
c5d.metal          96 vCPU   3 GHz          192.0Gb    $5.568/hr
c5n.large          2 vCPU    3 GHz          5.25Gb     $0.13/hr
c5n.xlarge         4 vCPU    3 GHz          10.5Gb     $0.26/hr
c5n.2xlarge        8 vCPU    3 GHz          21.0Gb     $0.52/hr
